,zipcode,count,amusement arcade,amusement device permanent,amusement device portable,amusement device temporary,auction house premises,auctioneer,bingo game operator,booting company,cabaret,catering establishment,cigarette retail dealer,commercial lessor,dealer in products,debt collection agency,electronic & appliance service,electronics store,employment agency,games of chance,gaming cafe,garage,garage and parking lot,general vendor,general vendor distributor,home improvement contractor,home improvement salesperson,horse drawn cab owner,horse drawn driver,laundries,laundry,laundry jobber,locksmith,locksmith apprentice,motion picture projectionist,newsstand,parking lot,pawnbroker,pedicab business,pedicab driver,pool or billiard room,process server individual,process serving agency,scale dealer repairer,scrap metal processor,secondhand dealer - auto,secondhand dealer - firearms,secondhand dealer - general,sidewalk cafe,sightseeing bus,special sale,stoop line stand,storage warehouse,ticket seller,tow truck company,tow truck driver,tow truck exemption
0,10001,596,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,98.0,0.0,2.0,5.0,29.0,50.0,24.0,4.0,0.0,24.0,1.0,9.0,0.0,111.0,64.0,0.0,4.0,1.0,2.0,12.0,8.0,0.0,3.0,22.0,13.0,1.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,54.0,10.0,0.0,0.0,13.0,0.0,9.0,0.0,2.0,0.0
1,10002,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,77.0,0.0,6.0,0.0,24.0,57.0,16.0,0.0,6.0,6.0,2.0,57.0,0.0,56.0,54.0,0.0,2.0,0.0,25.0,12.0,19.0,0.0,1.0,3.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,0.0,0.0,53.0,0.0,9.0,2.0,5.0,0.0
2,10003,525,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,79.0,0.0,3.0,2.0,16.0,20.0,6.0,4.0,0.0,36.0,2.0,12.0,0.0,44.0,38.0,0.0,1.0,2.0,13.0,48.0,13.0,0.0,2.0,11.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,86.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0
3,10004,88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,3.0,3.0,2.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
4,10005,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10006,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6,10007,134,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,1.0,3.0,12.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
7,10009,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,0.0,2.0,0.0,7.0,10.0,0.0,1.0,0.0,7.0,0.0,15.0,0.0,30.0,21.0,0.0,0.0,1.0,16.0,20.0,9.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,0.0,0.0,11.0,0.0,4.0,0.0,6.0,0.0
8,10010,311,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0,1.0,9.0,17.0,11.0,1.0,0.0,22.0,1.0,8.0,0.0,30.0,28.0,0.0,0.0,0.0,11.0,17.0,2.0,0.0,1.0,11.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
9,10011,479,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,68.0,0.0,3.0,1.0,16.0,29.0,11.0,1.0,0.0,40.0,2.0,13.0,0.0,55.0,40.0,0.0,2.0,0.0,13.0,33.0,17.0,0.0,1.0,11.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,45.0,0.0,0.0,22.0,0.0,1.0,0.0,2.0,0.0
