ZIPCODE,FELONY,MISDEMEANOR,VIOLATION,ABORTION,ADMINISTRATIVE CODE,ADMINISTRATIVE CODES,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,ALCOHOLIC BEVERAGE CONTROL LAW,ANTICIPATORY OFFENSES,ARSON,ASSAULT 3 & RELATED OFFENSES,BURGLAR'S TOOLS,BURGLARY,CHILD ABANDONMENT/NON SUPPORT,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL TRESPASS,DANGEROUS DRUGS,DANGEROUS WEAPONS,DISORDERLY CONDUCT,DISRUPTION OF A RELIGIOUS SERV,ENDAN WELFARE INCOMP,ESCAPE 3,FELONY ASSAULT,FORGERY,FORTUNE TELLING,FRAUDS,FRAUDULENT ACCOSTING,GAMBLING,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,HARRASSMENT 2,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",HOMICIDE-NEGLIGENT-VEHICLE,INTOXICATED & IMPAIRED DRIVING,INTOXICATED/IMPAIRED DRIVING,JOSTLING,KIDNAPPING,KIDNAPPING & RELATED OFFENSES,KIDNAPPING AND RELATED OFFENSES,LOITERING,LOITERING FOR DRUG PURPOSES,LOITERING/DEVIATE SEX,"LOITERING/GAMBLING (CARDS, DIC",MISCELLANEOUS PENAL LAW,MURDER & NON-NEGL. MANSLAUGHTER,NEW YORK CITY HEALTH CODE,NYS LAWS-UNCLASSIFIED FELONY,NYS LAWS-UNCLASSIFIED VIOLATION,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES AGAINST MARRIAGE UNCL,OFFENSES AGAINST PUBLIC ADMINI,OFFENSES AGAINST PUBLIC SAFETY,OFFENSES AGAINST THE PERSON,OFFENSES INVOLVING FRAUD,OFFENSES RELATED TO CHILDREN,OTHER OFFENSES RELATED TO THEF,OTHER STATE LAWS,OTHER STATE LAWS (NON PENAL LA,OTHER STATE LAWS (NON PENAL LAW),OTHER TRAFFIC INFRACTION,PETIT LARCENY,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,PROSTITUTION & RELATED OFFENSES,ROBBERY,SEX CRIMES,THEFT OF SERVICES,THEFT-FRAUD,UNAUTHORIZED USE OF A VEHICLE,UNDER THE INFLUENCE OF DRUGS,UNLAWFUL POSS. WEAP. ON SCHOOL,VEHICLE AND TRAFFIC LAWS
83,1607.0,2425.0,544.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,314.0,17.0,53.0,0.0,288.0,10.0,418.0,70.0,4.0,0.0,0.0,0.0,67.0,97.0,0.0,23.0,14.0,0.0,971.0,30.0,513.0,0.0,0.0,49.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,2.0,0.0,150.0,0.0,80.0,0.0,12.0,17.0,0.0,8.0,0.0,2.0,0.0,0.0,929.0,0.0,27.0,0.0,168.0,0.0,10.0,58.0,7.0,0.0,0.0,82.0
10001,23891.0,47303.0,4034.0,0.0,38.0,0.0,0.0,7.0,0.0,45.0,3685.0,57.0,2147.0,0.0,2820.0,623.0,1999.0,895.0,9.0,0.0,0.0,2.0,1144.0,1821.0,1.0,292.0,342.0,15.0,14177.0,326.0,3930.0,0.0,0.0,587.0,0.0,26.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,627.0,11.0,2.0,12.0,0.0,2019.0,0.0,803.0,20.0,66.0,823.0,10.0,128.0,0.0,23.0,0.0,0.0,32585.0,8.0,524.0,7.0,1288.0,0.0,278.0,546.0,67.0,0.0,0.0,382.0
10002,14797.0,31279.0,6017.0,0.0,92.0,0.0,1.0,3.0,1.0,154.0,5280.0,75.0,1305.0,1.0,6274.0,1319.0,4054.0,1393.0,5.0,0.0,2.0,0.0,1715.0,455.0,0.0,218.0,11.0,24.0,4819.0,579.0,5859.0,1.0,1.0,750.0,0.0,5.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,1206.0,26.0,2.0,12.0,0.0,2398.0,0.0,1169.0,3.0,124.0,455.0,8.0,109.0,10.0,48.0,0.0,0.0,8841.0,10.0,374.0,4.0,1963.0,0.0,60.0,391.0,44.0,0.0,0.0,424.0
10003,17848.0,31715.0,4297.0,0.0,48.0,0.0,1.0,0.0,1.0,28.0,3346.0,78.0,1760.0,1.0,3528.0,235.0,2157.0,700.0,6.0,0.0,0.0,2.0,971.0,405.0,0.0,358.0,76.0,4.0,10488.0,359.0,4158.0,0.0,0.0,247.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,498.0,11.0,0.0,1.0,0.0,1773.0,0.0,570.0,1.0,89.0,141.0,8.0,86.0,2.0,34.0,0.0,0.0,18281.0,9.0,859.0,6.0,1332.0,0.0,44.0,708.0,57.0,0.0,0.0,375.0
10004,1358.0,2419.0,517.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,293.0,1.0,115.0,1.0,204.0,24.0,45.0,67.0,2.0,0.0,0.0,0.0,90.0,54.0,0.0,31.0,16.0,1.0,812.0,19.0,500.0,0.0,1.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,0.0,0.0,362.0,0.0,115.0,0.0,14.0,206.0,0.0,10.0,0.0,15.0,0.0,0.0,1000.0,0.0,40.0,0.0,69.0,0.0,18.0,43.0,1.0,0.0,0.0,30.0
10005,1096.0,1617.0,285.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,177.0,1.0,73.0,0.0,163.0,14.0,12.0,9.0,0.0,0.0,0.0,1.0,42.0,21.0,0.0,31.0,3.0,0.0,745.0,35.0,281.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,341.0,0.0,43.0,0.0,2.0,26.0,0.0,11.0,0.0,11.0,0.0,0.0,736.0,1.0,8.0,0.0,40.0,0.0,31.0,67.0,3.0,0.0,0.0,24.0
10006,953.0,1844.0,451.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,218.0,1.0,64.0,2.0,210.0,29.0,18.0,27.0,0.0,1.0,0.0,0.0,55.0,42.0,0.0,16.0,0.0,0.0,588.0,12.0,445.0,0.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,1.0,0.0,0.0,351.0,0.0,102.0,0.0,6.0,57.0,0.0,13.0,0.0,2.0,0.0,0.0,774.0,0.0,9.0,0.0,54.0,0.0,0.0,42.0,5.0,0.0,0.0,22.0
10007,3524.0,9824.0,838.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,528.0,22.0,291.0,1.0,503.0,47.0,64.0,96.0,2.0,1.0,0.0,0.0,117.0,302.0,0.0,70.0,22.0,0.0,2144.0,27.0,821.0,0.0,0.0,46.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,1.0,0.0,651.0,0.0,195.0,0.0,13.0,196.0,0.0,20.0,0.0,4.0,0.0,0.0,7345.0,0.0,113.0,0.0,189.0,0.0,25.0,101.0,4.0,0.0,0.0,74.0
10009,9301.0,17625.0,4095.0,0.0,52.0,0.0,1.0,5.0,1.0,81.0,2782.0,27.0,1016.0,4.0,3028.0,1034.0,2332.0,799.0,6.0,0.0,3.0,2.0,969.0,133.0,0.0,238.0,7.0,16.0,3095.0,395.0,4014.0,0.0,0.0,276.0,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,738.0,14.0,0.0,15.0,0.0,1717.0,0.0,657.0,1.0,99.0,46.0,1.0,43.0,1.0,25.0,0.0,0.0,5248.0,15.0,203.0,0.0,1015.0,0.0,0.0,631.0,32.0,0.0,0.0,186.0
10010,7456.0,9635.0,1888.0,0.0,11.0,1.0,0.0,1.0,0.0,23.0,1252.0,32.0,846.0,0.0,1110.0,68.0,241.0,249.0,2.0,0.0,1.0,2.0,364.0,171.0,0.0,182.0,22.0,0.0,4313.0,183.0,1850.0,0.0,0.0,161.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,201.0,5.0,0.0,3.0,0.0,1119.0,0.0,196.0,2.0,23.0,27.0,2.0,64.0,0.0,6.0,0.0,0.0,4838.0,4.0,186.0,0.0,468.0,0.0,8.0,473.0,24.0,0.0,1.0,237.0
