FID,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
0,11436,0,Jamaica,18681,22699295.46,NY,Queens,36,081,http://www.usps.com/,0,0
1,11213,0,Brooklyn,62426,29631004.44,NY,Kings,36,047,http://www.usps.com/,0,0
2,11212,0,Brooklyn,83866,41972104.07,NY,Kings,36,047,http://www.usps.com/,0,0
3,11225,0,Brooklyn,56527,23698630.12,NY,Kings,36,047,http://www.usps.com/,0,0
4,11218,0,Brooklyn,72280,36868798.99,NY,Kings,36,047,http://www.usps.com/,0,0
5,11226,0,Brooklyn,106132,39408598.28,NY,Kings,36,047,http://www.usps.com/,0,0
6,11219,0,Brooklyn,92561,42002738.47,NY,Kings,36,047,http://www.usps.com/,0,0
7,11210,0,Brooklyn,67067,47887022.99,NY,Kings,36,047,http://www.usps.com/,0,0
8,11230,0,Brooklyn,80857,49926703.39,NY,Kings,36,047,http://www.usps.com/,0,0
9,11204,0,Brooklyn,77354,43555184.61,NY,Kings,36,047,http://www.usps.com/,0,0
10,10471,0,Bronx,23477,89651407.06,NY,Bronx,36,005,http://www.usps.com/,0,0
11,10470,0,Bronx,14740,21543461.58,NY,Bronx,36,005,http://www.usps.com/,0,0
12,10466,0,Bronx,68942,55262490.61,NY,Bronx,36,005,http://www.usps.com/,0,0
13,10467,0,Bronx,97932,69336166.37,NY,Bronx,36,005,http://www.usps.com/,0,0
14,10463,0,Bronx,70641,36703381.51,NY,Bronx,36,005,http://www.usps.com/,0,0
15,10475,0,Bronx,40931,38633296.93,NY,Bronx,36,005,http://www.usps.com/,0,0
16,10464,0,Bronx,4438,76257484.9,NY,Bronx,36,005,http://www.usps.com/,0,0
17,10469,0,Bronx,65101,68040887.07,NY,Bronx,36,005,http://www.usps.com/,0,0
18,10468,0,Bronx,72877,34447604.67,NY,Bronx,36,005,http://www.usps.com/,0,0
19,10463,0,Bronx,70641,3119701.913,NY,New York,36,061,http://www.usps.com/,0,0
20,10458,0,Bronx,79362,35968812.9,NY,Bronx,36,005,http://www.usps.com/,0,0
21,10034,0,New York,39149,24503892.12,NY,New York,36,061,http://www.usps.com/,0,0
22,10033,0,New York,54284,16156054.17,NY,New York,36,061,http://www.usps.com/,0,0
23,10462,0,Bronx,75674,53022513.78,NY,Bronx,36,005,http://www.usps.com/,0,0
24,10040,0,New York,41033,16340742.8,NY,New York,36,061,http://www.usps.com/,0,0
25,10453,0,Bronx,77576,25748509.27,NY,Bronx,36,005,http://www.usps.com/,0,0
26,10465,0,Bronx,42012,108423743.4,NY,Bronx,36,005,http://www.usps.com/,0,0
27,10464,0,Bronx,4438,4512530.577,NY,Bronx,36,005,http://www.usps.com/,0,0
28,10464,0,Bronx,4438,11587953.83,NY,Bronx,36,005,http://www.usps.com/,0,0
29,10461,0,Bronx,50549,62824057.57,NY,Bronx,36,005,http://www.usps.com/,0,0
30,10457,0,Bronx,70253,37640607.38,NY,Bronx,36,005,http://www.usps.com/,0,0
31,10460,0,Bronx,56670,35155666.65,NY,Bronx,36,005,http://www.usps.com/,0,0
32,10032,0,New York,57606,23159566.09,NY,New York,36,061,http://www.usps.com/,0,0
33,10452,0,Bronx,76104,27550385.85,NY,Bronx,36,005,http://www.usps.com/,0,0
34,10456,0,Bronx,89390,29933452.44,NY,Bronx,36,005,http://www.usps.com/,0,0
35,10472,0,Bronx,66356,30963245.19,NY,Bronx,36,005,http://www.usps.com/,0,0
36,10031,0,New York,57010,16902152.37,NY,New York,36,061,http://www.usps.com/,0,0
37,10039,0,New York,24234,8419027.885,NY,New York,36,061,http://www.usps.com/,0,0
38,10459,0,Bronx,46804,22551940.54,NY,Bronx,36,005,http://www.usps.com/,0,0
