,precinct,zipcode
0,102,11418
1,040,10454
2,018,10019
3,110,11373
4,078,11217
5,069,11236
6,072,11232
7,114,11103
8,122,10306
9,043,10473
10,050,10463
11,044,10452
12,042,10451
13,034,10033
14,070,11230
15,081,11221
16,083,11237
17,073,11212
18,106,11417
19,120,10301
20,113,11434
21,007,10002
22,005,10013
23,006,10014
24,048,10457
25,032,10030
26,063,11210
27,060,11224
28,094,11222
29,076,11231
30,046,10457
31,103,11432
32,049,10461
33,009,10003
34,071,11225
35,052,10467
36,025,10035
37,109,11354
38,014,10001
39,045,10465
40,017,10022
41,123,10307
42,010,10011
43,030,10031
44,121,10314
45,061,11223
46,079,11216
47,062,11214
48,107,11365
49,112,11375
50,115,11372
51,101,11691
52,033,10032
53,067,11226
54,013,10010
55,075,11208
56,028,10027
57,100,11693
58,001,10013
59,024,10025
60,090,11211
61,022,10024
62,104,11385
63,020,10024
64,019,10065
65,108,11101
66,041,10459
67,105,11428
68,088,11205
69,111,11361
70,026,10027
71,084,11201
72,077,11213
73,066,11204
74,023,10029
75,068,11220
76,047,10466
