,precinct,borough,count
4,75,BROOKLYN,165479
65,43,BRONX,137771
16,44,BRONX,127725
12,14,MANHATTAN,119414
68,40,BRONX,118896
56,46,BRONX,111356
84,120,STATEN ISLAND,109720
7,52,BRONX,107178
19,73,BROOKLYN,107097
93,67,BROOKLYN,94719
61,114,QUEENS,91694
63,47,BRONX,90507
79,113,QUEENS,87842
70,122,STATEN ISLAND,82693
34,48,BRONX,82118
88,79,BROOKLYN,81617
83,70,BROOKLYN,81609
89,115,QUEENS,81493
58,103,QUEENS,80404
75,109,QUEENS,80169
32,18,MANHATTAN,79129
87,42,BRONX,78477
20,77,BROOKLYN,76718
11,104,QUEENS,75114
76,13,MANHATTAN,74442
14,105,QUEENS,74018
3,71,BROOKLYN,72088
2,32,MANHATTAN,70599
22,41,BRONX,70032
39,83,BROOKLYN,69104
55,110,QUEENS,68583
85,49,BRONX,68574
92,25,MANHATTAN,67479
49,23,MANHATTAN,66690
62,19,MANHATTAN,65983
24,90,BROOKLYN,65730
43,102,QUEENS,65302
67,81,BROOKLYN,65145
37,60,BROOKLYN,64959
64,61,BROOKLYN,64665
35,45,BRONX,64272
74,9,MANHATTAN,62164
18,62,BROOKLYN,61874
72,1,MANHATTAN,61537
21,106,QUEENS,61494
53,72,BROOKLYN,54961
30,6,MANHATTAN,54904
86,63,BROOKLYN,54424
91,108,QUEENS,54117
90,34,MANHATTAN,53833
47,107,QUEENS,53750
5,28,MANHATTAN,53052
26,84,BROOKLYN,51565
77,68,BROOKLYN,51275
27,24,MANHATTAN,50509
9,69,BROOKLYN,50126
73,30,MANHATTAN,49689
17,66,BROOKLYN,49609
29,50,BRONX,46599
48,88,BROOKLYN,46255
41,33,MANHATTAN,45214
15,5,MANHATTAN,44917
36,10,MANHATTAN,43479
52,101,QUEENS,41139
6,20,MANHATTAN,40974
81,7,MANHATTAN,40885
50,112,QUEENS,36889
66,78,BROOKLYN,34725
44,26,MANHATTAN,34274
51,123,STATEN ISLAND,34003
45,94,BROOKLYN,33533
40,111,QUEENS,33116
57,17,MANHATTAN,32659
54,76,BROOKLYN,28928
31,100,QUEENS,25878
82,121,STATEN ISLAND,17374
23,22,MANHATTAN,4420
80,121,,74
10,23,BRONX,3
33,114,BRONX,2
60,104,MANHATTAN,1
1,71,BRONX,1
46,13,BROOKLYN,1
8,9,BROOKLYN,1
59,34,,1
13,25,BRONX,1
28,121,BROOKLYN,1
42,104,BROOKLYN,1
71,100,,1
25,14,BROOKLYN,1
38,106,BROOKLYN,1
69,6,BRONX,1
78,26,BROOKLYN,1
0,7,BROOKLYN,1
