ZIPCODE,restaurant_amount,AREA,POPULATION,index
10001,7451.0,17794940.77,22413,6.730336520620107
10002,7962.0,26280128.54,81305,6.406769599343766
10003,11698.0,15538376.27,55878,7.317007494212563
10004,2124.0,7679615.511,2187,6.315634080687296
10005,878.0,2082901.1409999998,8107,6.737032072956071
10006,693.0,1716640.92,3011,6.693807751913038
10007,1881.0,5327870.977,7323,6.559754292944629
10009,5083.0,15903519.3,61455,6.4602636736500205
10010,3954.0,9768395.57,29881,6.6964779517828195
10011,7525.0,18118416.85,50594,6.722204343688247
10012,6500.0,9193739.0,24276,7.254181927541769
10013,9023.0,15580578.83,27985,7.0546541406838665
10014,6717.0,14151052.03,31328,6.855755116091375
10016,7423.0,15042403.04,54606,6.894612665322975
10017,5597.0,9794383.24,15918,7.0413241168571
10018,5232.0,10705796.48,5503,6.884910751807471
10019,10515.0,18828383.12,41966,7.018339796947624
10020,522.0,697297.0224,0,7.311358583391873
10021,2679.0,10495133.41,45299,6.235434385145243
10022,7454.0,12728335.62,33135,7.065822601275232
10023,2873.0,15212712.68,62800,5.934127800715265
10024,3269.0,22877335.46,58521,5.655239884722054
10025,4464.0,19631043.82,96054,6.1198355030138964
10026,1521.0,11092681.49,34313,5.613984907176637
10027,2636.0,24695278.5,58639,5.363553004666791
10028,3475.0,9842046.48,47530,6.559833273508849
10029,3510.0,22963435.68,77503,5.722615299132423
10030,617.0,7757661.455,26720,5.069335274579674
10031,1899.0,16902152.37,57010,5.414788918381096
10032,2145.0,23159566.09,57606,5.221634094712293
10033,1906.0,16156054.17,54284,5.4636144141446525
10034,1953.0,24503892.12,39149,5.071437144462364
10035,1160.0,15445657.33,34884,5.011994579791098
10036,9801.0,11395110.51,23543,7.450202520065297
10037,480.0,7188980.953,16931,4.894383853928117
10038,3223.0,7022760.642999999,19127,6.822058667653144
10039,533.0,8419027.885,24234,4.841174236224662
10040,1165.0,16340742.8,41033,4.95996199916479
10044,63.0,6296113.268999999,11661,2.9963494053692346
10048,4.0,972788.4240000001,0,2.1070302091919246
10055,3.0,37223.53879,12,5.0825734238692535
10065,3010.0,11442579.55,33459,6.265501092629308
10069,57.0,2372365.889,5850,3.8723107257821634
10075,1689.0,4809654.276000001,25203,6.554413891924762
10103,13.0,62713.253410000005,0,6.027279013552037
10104,56.0,89721.85255,0,7.129539792710886
10105,34.0,35422.15675,0,7.559925462917627
10106,8.0,31052.552789999998,0,6.244662980762999
10107,7.0,23030.1759,0,6.410007256930315
10110,7.0,21249.06352,0,6.490499783845124
10111,64.0,103066.2533,0,7.124413525537344
10112,205.0,164078.1678,0,7.823569491482855
10118,64.0,91733.71537,0,7.240895560875452
10119,217.0,126392.9735,0,8.141403922313668
10121,276.0,115104.7993,0,8.475460313615278
10123,16.0,16138.53697,0,7.592281169269248
10128,2746.0,11011681.56,55748,6.212091097570118
10152,1.0,59924.998270000004,0,3.507808708091055
10153,11.0,80339.64723,0,5.612534494382363
10154,11.0,79148.80239,0,5.6274680770186185
10155,8.0,24784.68854,0,6.470117936299996
10158,1.0,35395.77014,0,4.034310134112183
10165,10.0,40779.8152,0,6.19530031903324
10166,15.0,110438.6232,0,5.604492740157692
10167,25.0,80926.18724,0,6.426240813837503
10168,39.0,27810.12206,0,7.939064048366807
10169,105.0,66246.34637,0,8.06148249548612
10170,3.0,61793.175129999996,0,4.575721824634561
10171,7.0,23525.085919999998,0,6.388745270847819
10172,6.0,79589.1001,0,5.015784778713122
10173,4.0,25689.42059,0,5.741117563706552
10174,30.0,44203.22555,0,7.213302078538878
10175,13.0,18685.39453,0,7.23810963949112
10176,38.0,18289.08973,0,8.332183926830277
10178,7.0,51303.03763,0,5.609062645113267
10270,3.0,31255.800430000003,0,5.257309775491884
10271,22.0,49236.8772,0,6.795302033579031
10279,4.0,28664.705810000003,0,5.631530217392841
10280,121.0,2234114.0069999998,3170,4.685092994134988
10281,270.0,955857.8219,4017,6.336715238411173
10282,188.0,1562844.987,4139,5.483081273452371
10285,44.0,67350.38896,0,7.175183415416489
10301,1564.0,105182712.6,40438,3.3924501437624035
10302,1089.0,29555323.02,18123,4.299898439822738
10303,528.0,81629773.52,27048,2.5600493972769613
10304,814.0,98226679.8,41502,2.807829679711634
10305,1615.0,111441829.3,41746,3.366734671768608
10306,1559.0,174102872.0,55602,2.8853007067131267
10307,365.0,46028382.63,14096,2.763786314232376
10308,843.0,62751041.82,27612,3.2909389579785677
10309,1016.0,215835793.5,33114,2.2422579054021528
